sex,n,deaths_all,deaths_cv,hr_all,hr_all_lower,hr_all_upper,p_all,hr_cv,hr_cv_lower,hr_cv_upper,p_cv
Male,36500,9235,3015,0.7385018139490731,0.706106315982315,0.7723835870910563,4.842260099622962e-40,0.7625828893734573,0.7011837763175983,0.8293584118834029,2.472738500148601e-10
Female,32870,7080,2230,0.7859598553560574,0.7456856151660123,0.8284092943026513,2.8547267342556786e-19,0.8483183249056311,0.7798697398362195,0.9227745912052291,1.2691992610717757e-4
