metric,value
C-statistic (Base),0.8281593874230947
C-statistic (Base+IRI),0.839439860898465
ΔC-statistic,0.011280473475370312
NRI (events),0.004917025199754148
NRI (non-events),0.0014528301886792452
NRI (total),0.006369855388433394
