term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,model,hr_ci,p
z_crp_inv,0.8494259690515915,0.012845354944833891,0.025881730691331744,-6.305393179071682,2.8746320825250464e-10,0.8074115639780981,0.8936266324256006,M2: + CRP,0.85 (0.81-0.89),0.0000
z_crp_inv,0.9420283535332816,0.012982732957867917,0.02670288057879678,-2.236459298475002,0.025321700573820705,0.8939936651600697,0.9926439676747968,"M3: + CRP, Albumin",0.94 (0.89-0.99),0.0253
z_albumin,0.6736690023568553,0.01024766997075712,0.030675936267339648,-12.87707666620733,6.05872498339553e-38,0.6343590795147991,0.7154148799818563,"M3: + CRP, Albumin",0.67 (0.63-0.72),0.0000
z_crp_inv,0.920257912415708,0.013159179402400042,0.028285952292054613,-2.9379003325230393,0.0033044323627617967,0.8706277668877906,0.972717224941052,"M4: + CRP, Albumin, ALMI (all components)",0.92 (0.87-0.97),0.0033
z_albumin,0.6677574312886484,0.01015963390228289,0.030890362462434415,-13.073019091196937,4.696392570835117e-39,0.6285282547587401,0.7094350710014974,"M4: + CRP, Albumin, ALMI (all components)",0.67 (0.63-0.71),0.0000
z_almi,0.8847929959743573,0.01246893142926542,0.03253918458056076,-3.761666611052814,1.687849305614607e-4,0.8301264884731359,0.9430594693649672,"M4: + CRP, Albumin, ALMI (all components)",0.88 (0.83-0.94),0.0002
iri,0.7803630388478631,0.0069479377283672,0.018441227074650585,-13.447913859271425,3.1668099769710647e-41,0.7526611337473541,0.8090845203710004,M5: + IRI (composite),0.78 (0.75-0.81),0.0000
