model,estimate,conf.low,conf.high,p.value,hr_ci,p
"Model 1: Age, Sex",0.8539204355993067,0.5412199003760783,1.3472899090137362,0.497304967877665,0.85 (0.54 - 1.35),0.4973
"Model 2: + Demographics, Lifestyle",0.8638799920371243,0.5733915270264204,1.3015341271474261,0.48411146122873305,0.86 (0.57 - 1.30),0.4841
"Model 3: + Socioeconomic (Education, PIR)",1.0468441831027109,0.5999486554957953,1.8266275516366461,0.8719518583133635,1.05 (0.60 - 1.83),0.8720
"Model 4: + Clinical (Hypertension, eGFR)",0.8658918723742379,0.5456484546702874,1.374087525083925,0.5410924022174106,0.87 (0.55 - 1.37),0.5411
